"key","value","expiration"
"key","owner","expiration"
"id","kode_produk","nama_produk","berat_produk","diameter_produk","lebar_produk","keterangan","status","no_gs","created_at","updated_at"
"19","random_attribute_7","27","61245","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Damaged frame","2024-07-20 14:12:30","2024-07-20 14:12:30"
"20","random_attribute_8","28","50123","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Minor crack","2024-08-25 15:23:00","2024-08-25 15:23:00"
"21","random_attribute_9","29","54123","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Chipped paint","2024-09-05 16:34:10","2024-09-05 16:34:10"
"22","random_attribute_10","30","61234","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Bent part","2024-10-18 17:45:20","2024-10-18 17:45:20"
"23","random_attribute_11","31","52340","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Loose bolt","2024-11-22 18:56:30","2024-11-22 18:56:30"
"24","random_attribute_12","32","65432","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","No issues","2024-12-30 19:12:40","2024-12-30 19:12:40"
"25","random_attribute_13","33","54321","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Small scratch","2024-01-05 20:30:50","2024-01-05 20:30:50"
"26","random_attribute_14","34","65430","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Slight damage","2024-02-12 21:45:00","2024-02-12 21:45:00"
"27","random_attribute_15","35","72310","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Mild rust","2024-03-17 22:56:30","2024-03-17 22:56:30"
"28","random_attribute_16","36","84521","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","No damage","2024-04-23 23:12:00","2024-04-23 23:12:00"
"29","random_attribute_17","37","93450","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Surface scratch","2024-05-19 00:10:10","2024-05-19 00:10:10"
"30","random_attribute_18","38","52134","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Cracked wheel","2024-06-13 01:22:20","2024-06-13 01:22:20"
"31","random_attribute_19","39","61132","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","No visible cracks","2024-07-10 02:34:30","2024-07-10 02:34:30"
"32","random_attribute_20","40","43523","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Loose parts","2024-08-25 03:45:40","2024-08-25 03:45:40"
"33","random_attribute_21","41","52124","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Dented side","2024-09-05 04:56:50","2024-09-05 04:56:50"
"34","random_attribute_22","42","65342","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Broken part","2024-10-13 05:10:00","2024-10-13 05:10:00"
"35","random_attribute_23","43","74321","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Chipped paint","2024-11-22 06:34:30","2024-11-22 06:34:30"
"36","random_attribute_24","44","83451","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","No visible issues","2024-12-30 07:12:10","2024-12-30 07:12:10"
"37","random_attribute_25","45","92345","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Small crack","2024-01-01 08:45:20","2024-01-01 08:45:20"
"38","random_attribute_26","46","43210","Crane","[""1731644614_Screenshot 2024-11-14 135354.png""]","Heavy damage","2024-02-14 09:12:00","2024-02-14 09:12:00"
"39","random_attribute_27","47","52143","Forklift","[""1731644614_Screenshot 2024-11-14 135354.png""]","Minor scratches","2024-03-18 10:30:10","2024-03-18 10:30:10"
